                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5101,                 5.8209,                 3.7631,                0.00219,                0.63889,                0.00236,                0.00055,                 2.4492,                 4.6206,                 2.7173,                  2e-05,                  2e-05,                  2e-05
                      2,                  2.803,                 4.4739,                 3.0289,                0.00229,                0.66667,                  0.002,                0.00059,                  2.415,                 4.7687,                 2.6813,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 3.1095,                 4.5205,                 2.9476,                0.00157,                0.45833,                0.00173,                0.00045,                 2.5092,                 4.8438,                 2.7066,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 3.5865,                 7.1111,                 3.1575,                 0.0009,                0.26389,                0.00072,                0.00014,                 2.4748,                 5.2468,                 2.7239,             0.00013584,             0.00013584,             0.00013584
                      5,                 2.7524,                 4.3013,                 2.5748,                0.00162,                0.47222,                0.00171,                0.00044,                 2.5599,                 5.1182,                 2.7042,             0.00017287,             0.00017287,             0.00017287
                      6,                 2.8453,                 4.5181,                 2.7784,                  0.003,                  0.875,                0.00428,                0.00135,                 2.1387,                 4.6617,                 2.3789,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.0648,                 4.1513,                 2.1423,                0.00333,                0.97222,                0.01692,                0.00498,                 1.8246,                 4.4575,                 2.1011,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.9126,                 3.9236,                 1.7864,                0.00333,                0.97222,                0.38249,                0.10651,                 1.7056,                 4.0247,                 1.8572,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.6729,                  3.589,                 1.6339,                0.00333,                0.97222,                0.52378,                 0.1366,                 1.6967,                 3.9152,                 1.7362,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.6041,                 3.6075,                 1.5811,                0.00333,                0.97222,                0.54674,                0.14576,                 1.6787,                 3.7748,                   1.65,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.7301,                 3.1796,                 1.6053,                0.00333,                0.97222,                0.53817,                0.13482,                  1.722,                 3.7831,                 1.7396,             0.00037842,             0.00037842,             0.00037842
                     12,                 2.7015,                  4.673,                  2.094,                0.00333,                0.97222,                0.51366,                0.12504,                 1.7696,                  3.824,                 1.8364,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.9549,                 2.7631,                 1.5845,                0.00333,                0.97222,                0.58037,                0.14639,                 1.8669,                 3.7862,                 1.9459,              0.0004406,              0.0004406,              0.0004406
                     14,                  2.798,                 5.9179,                 2.2946,                0.00333,                0.97222,                0.52645,                0.15563,                 1.7651,                 3.7062,                 1.8475,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.5963,                 2.9015,                 1.5613,                0.00333,                0.97222,                0.42194,                0.14305,                 1.6435,                 3.7614,                 1.6516,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.8182,                 3.0408,                  1.428,                0.00333,                0.97222,                0.48275,                0.15152,                 1.6785,                 3.7344,                 1.6129,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.6896,                 4.3901,                 1.5023,                0.00319,                0.93056,                0.61165,                0.21339,                 1.8383,                 3.7508,                 1.6084,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.6021,                 2.5396,                 1.3438,                 0.0029,                0.84722,                0.40613,                0.16117,                 2.1881,                 3.9804,                 1.8101,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.5409,                 2.3909,                 1.4538,                0.00281,                0.81944,                 0.4786,                 0.1556,                 2.5293,                 4.1092,                 2.1134,             0.00060813,             0.00060813,             0.00060813
                     20,                   1.81,                 2.4703,                  1.534,                0.00295,                0.86111,                0.41354,                0.11147,                 2.6524,                 4.3601,                 2.2895,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.6158,                 2.3178,                 1.5344,                0.00276,                0.80556,                0.16031,                 0.0444,                 2.8993,                 4.7064,                 2.9159,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.9958,                 2.6963,                 1.6647,                0.00314,                0.91667,                0.19557,                0.05176,                 2.4055,                  4.118,                 2.1887,             0.00068121,             0.00068121,             0.00068121
